2019,Baden Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein Westpfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen
,,,,,,,,,,,,,,,,
students 2019,357429,394278,193650,49458,37057,112032,264789,38396,211266,776071,123419,31997,107963,54476,65151,74612
female,173109,196145,98251,25429,18368,57003,129239,19290,104427,373735,64166,16317,51049,26954,31791,40939
1.year 2019,61013,66691,27267,7526,6254,14848,35357,6265,31652,100243,16225,5253,17426,8277,10100,13529
female,30373,34446,14417,3931,3136,7737,18599,3341,16431,50965,8841,2741,8706,4209,5046,7727
,,,,,,,,,,,,,,,,
Maths,38698,43913,19187,4711,3677,8676,27424,4887,26471,97708,15515,2639,12588,4978,7540,4617
female,19582,21448,8406,2384,1813,4102,14102,2553,13363,47570,8116,1063,5317,2143,3966,2194
economics,126884,142633,68430,19493,11677,55684,100230,13597,71622,286947,52531,9693,30076,23762,23346,37073
female,73026,83525,40354,11004,6102,31506,56970,7567,42223,160202,30355,5301,18152,13613,12025,24355
languages,39822,46180,24042,9315,4540,7192,24205,4129,24226,104887,16578,2996,12970,3397,8279,5662
female,27932,31430,15421,6209,3306,4704,15219,2587,16828,69995,11559,2016,8952,2226,5675,3591
medicine/sport,25760,29796,12860,1699,4402,10915,18663,6026,12864,48053,8131,10733,9425,5053,5872,6033
female,17729,19832,8054,801,3317,7217,11957,3803,8604,29624,5104,6153,5796,3107,3691,3928
engineering,106741,111403,50956,10667,9747,23161,76361,7860,57167,210455,26697,4840,35290,11955,15572,16939
female,24779,27431,14540,2981,2194,5317,19610,1775,12509,49045,6605,1152,8090,2823,3538,4221
education,31007,34895,14733,4308,2798,6180,21395,4356,12042,75646,17707,1639,10352,4181,6173,4110
female,22017,24335,9491,2729,2021,4158,13622,2765,8624,49559,11722,1110,7107,2574,3770,2258
rest,19524,20353,18175,3573,3014,6404,17906,1897,18916,28021,3967,1096,7614,5331,4542,4288
female,10061,12479,11476,2050,1636,4157,11381,1005,10900,17299,2427,632,4742,3042,2896,2650
,,,,,,,,,,,,,,,,
Wissenschaftliches Personal,74311,60481,26447,7408,4441,15286,27507,6326,28606,86105,15610,4417,21932,8724,8925,10133
Verwaltungs Personal,49378,54935,19609,3265,1948,11479,24691,8209,25333,65551,12785,6588,19246,10241,9967,7878
writtenexams,85499,79102,33042,8585,6705,17733,42743,6871,40343,110980,23254,5880,21392,9191,10459,10506
studentsperinstitution,4641,7730,6246,4121,5293,5092,8826,3839,7824,10930,7259,6399,4907,6052,5011,5739
supervisionratio,52,49,69,88,84,69,90,60,68,105,80,70,69,55,80,60
,,,,,,,,,,,,,,,,
Einnahmen,4803604,5246307,2470672,161109,281507,1306601,2358699,746794,2170811,6982508,1005993,618659,1788495,882958,1287375,721836
3. Gelder,1441930,1360828,662383,132883,142815,317534,565161,121088,729777,1712853,283165,78756,615120,155411,193995,200445
,,,,,,,,,,,,,,,,
Mlanguages,271405,267271,134110,43663,14544,69998,140530,25439,126360,380235,86966,24270,72671,17983,34706,44833
Mmedicine/sport,4142412,5019317,2002690,16511,12605,1192379,1830186,834362,1942825,6248032,897288,623929,1468496,927455,1678026,628326
Meconomics,568655,654530,395383,130036,56157,219378,455818,52082,351399,1085114,292172,38933,188055,81425,89838,88075
Mmaths,745783,797009,267066,80043,93923,117669,347494,82275,364289,959792,197744,38087,262046,64778,78014,107572
Mengineering,942060,925703,353137,90566,92121,264416,409405,75227,551942,1381096,166146,51891,566202,115485,103000,156095
Mrest,218595,285035,161291,33270,15064,41330,168215,30325,234315,244802,30656,123248,111207,36789,39182,30213